Customer_ID,Sex,Earnings,Region_Code,Marital Status,State_of_Origin,Customer_Worth,Customer_Reply,Plan,Certification,Effective To Date,Status_of_Employment,Premium_Auto_per_Month,Total Claim Amount,Vehicle Class,Vehicle Size,Months Since Last Claim,Months Since Policy Inception,Counts_of_Open_Complaints,No_Of_POlicy,kind_of_policy,Active_Policy,Sales Channel,Best_Offer
Customer_418,Male,34966,Suburban,Married,Enugu,7128.596501,Not_interested,Bronze,HND,3/2/2011,On_Leave,366,1317.6,Luxury Car,Large,24,63,0,1,Personal,P_L1,Web,1
Customer_7719,Male,0,Suburban,Single,Abuja,12478.64759,Not_interested,Silver,O_Level,1/1/2011,Not_employed,242,871.2,SUV,Medsize,7,34,0,2,Corporate,C_L3,Call Center,0
Customer_3001,Female,170644,Suburban,Married,Imo,16267.58682,Not_interested,Silver,First_Degree,1/19/11,Fully_Employed,268,735.491986,SUV,Medsize,32,55,0,2,Personal,P_L3,Agent,0
Customer_2709,Male,0,Suburban,Single,Lagos,15996.008,Not_interested,Gold,First_Degree,2/16/11,Not_employed,318,1410.16929,SUV,Medsize,19,75,0,2,Personal,P_L3,Web,0
Customer_2357,Female,46752,Suburban,Divorced,Abuja,2869.312197,Interested,Silver,First_Degree,3/1/2011,In_Retirement,156,374.4,Four-Door Car,Medsize,19,18,0,1,Personal,P_L3,Call Center,1
Customer_6243,Male,51492,Suburban,Married,Abuja,4718.264294,Not_interested,Bronze,O_Level,2/25/11,Fully_Employed,122,292.8,Four-Door Car,Medsize,0,84,2,3,Corporate,C_L3,Agent,1
Customer_1366,Female,45254,Suburban,Married,Abuja,5287.307579,Not_interested,Bronze,First_Degree,1/22/11,Fully_Employed,134,321.6,Four-Door Car,Medsize,19,43,0,8,Personal,P_L1,Agent,1
Customer_293,Female,0,Suburban,Single,Imo,4994.063043,Not_interested,Bronze,First_Degree,1/27/11,Not_employed,142,653.388564,Four-Door Car,Small,6,5,0,3,Corporate,C_L2,Web,2
Customer_7165,Male,0,Suburban,Single,Lagos,8218.391903,Not_interested,Gold,O_Level,1/13/11,Not_employed,234,983.127481,Four-Door Car,Medsize,3,33,0,9,Personal,P_L2,Agent,0
Customer_8635,Female,62012,Suburban,Divorced,Lagos,5262.623466,Not_interested,Bronze,First_Degree,1/1/2011,Fully_Employed,134,321.6,Four-Door Car,Medsize,20,16,0,4,Personal,P_L3,Call Center,1
Customer_1506,Female,132028,Urban,Married,Kano,32963.15225,Not_interested,Bronze,O_Level,2/19/11,Fully_Employed,204,459.966453,SUV,Medsize,34,11,0,2,Personal,P_L3,Branch,1
Customer_8244,Male,51996,Suburban,Married,Abuja,8384.478392,Interested,Bronze,First_Degree,1/27/11,Fully_Employed,142,791.878042,Four-Door Car,Medsize,16,38,0,2,Personal,P_L1,Call Center,1
Customer_6991,Female,148002,Urban,Married,Abuja,10116.98621,Not_interested,Silver,HND,1/27/11,Fully_Employed,168,224.265232,Four-Door Car,Medsize,16,0,0,2,Corporate,C_L3,Call Center,3
Customer_1634,Female,0,Suburban,Married,Abuja,5011.808888,Not_interested,Bronze,First_Degree,2/28/11,Not_employed,136,326.4,Four-Door Car,Medsize,21,69,0,7,Personal,P_L2,Branch,0
Customer_4359,Female,152704,Urban,Single,Enugu,8446.840217,Not_interested,Bronze,First_Degree,7/2/2011,Fully_Employed,218,501.83778,SUV,Small,17,9,4,4,Personal,P_L2,Agent,0
Customer_6109,Female,121284,Urban,Married,Lagos,10662.89661,Not_interested,Silver,First_Degree,2/24/11,Fully_Employed,266,428.27511,SUV,Medsize,34,68,0,5,Personal,P_L3,Agent,0
Customer_6920,Male,176466,Urban,Single,Lagos,10441.49667,Not_interested,Silver,HND,1/19/11,Fully_Employed,176,253.056709,Four-Door Car,Medsize,32,22,0,2,Personal,P_L1,Call Center,2
Customer_7159,Female,0,Suburban,Single,Abuja,4350.139173,Not_interested,Bronze,O_Level,2/27/11,Not_employed,124,675.661163,Four-Door Car,Small,20,9,0,7,Corporate,C_L1,Agent,0
Customer_1563,Male,0,Suburban,Single,Imo,7541.600588,Not_interested,Bronze,HND,12/2/2011,Not_employed,148,532.8,Four-Door Car,Large,23,64,0,2,Personal,P_L3,Branch,0
Customer_7623,Female,110676,Suburban,Married,Abuja,9417.527031,Not_interested,Gold,HND,1/25/11,Fully_Employed,232,556.8,Two-Door Car,Medsize,25,54,0,7,Corporate,C_L3,Branch,1
Customer_7471,Female,97658,Urban,Single,Lagos,2518.213745,Not_interested,Bronze,First_Degree,7/2/2011,Fully_Employed,128,300.312635,Four-Door Car,Medsize,23,70,2,1,Personal,P_L2,Agent,0
Customer_1979,Female,42492,Suburban,Married,Imo,3313.15793,Not_interested,Silver,O_Level,4/2/2011,Fully_Employed,166,398.4,Four-Door Car,Medsize,19,51,0,1,Personal,P_L1,Agent,0
Customer_1883,Male,93792,Rural,Married,Kano,4953.656084,Not_interested,Bronze,PHD,10/1/2011,Fully_Employed,124,31.707317,Four-Door Car,Medsize,9,33,2,4,Personal,P_L3,Agent,1
Customer_438,Male,131948,Rural,Married,Enugu,9030.821403,Not_interested,Bronze,O_Level,2/14/11,Fully_Employed,226,235.220971,Sports Car,Medsize,3,43,0,3,Personal,P_L3,Agent,2
Customer_8075,Male,41134,Suburban,Married,Enugu,2451.128459,Not_interested,Bronze,HND,8/1/2011,On_Leave,144,345.6,Four-Door Car,Large,24,76,8,1,Personal,P_L2,Agent,3
Customer_5580,Female,43894,Urban,Married,Lagos,3291.132998,Not_interested,Silver,First_Degree,2/26/11,Fully_Employed,166,366.90936,Four-Door Car,Medsize,17,66,0,1,Personal,P_L1,Branch,2
Customer_5681,Female,172202,Urban,Married,Imo,4119.4697,Not_interested,Bronze,First_Degree,8/1/2011,Fully_Employed,204,344.736945,SUV,Medsize,4,73,0,1,Personal,P_L1,Agent,0
Customer_6481,Male,65636,Suburban,Married,Lagos,7242.662339,Not_interested,Silver,First_Degree,1/23/11,Fully_Employed,186,446.4,Four-Door Car,Medsize,17,39,0,8,Personal,P_L1,Call Center,1
Customer_7757,Female,0,Suburban,Single,Abuja,7454.233634,Not_interested,Gold,First_Degree,2/17/11,Not_employed,210,504.0,Two-Door Car,Medsize,27,42,0,4,Corporate,C_L1,Branch,0
Customer_2280,Female,64628,Suburban,Married,Kano,8111.364607,Not_interested,Bronze,O_Level,12/2/2011,Fully_Employed,136,326.4,Four-Door Car,Medsize,17,77,0,2,Personal,P_L2,Agent,0
Customer_6503,Male,116886,Suburban,Married,Abuja,5145.647642,Not_interested,Bronze,HND,10/1/2011,Fully_Employed,130,312.0,Four-Door Car,Small,24,71,0,6,Personal,P_L3,Agent,2
Customer_8894,Female,53812,Rural,Married,Lagos,7332.190221,Not_interested,Silver,HND,1/23/11,Fully_Employed,184,106.528651,Two-Door Car,Medsize,17,12,0,3,Personal,P_L3,Branch,2
Customer_6121,Female,134496,Suburban,Divorced,Enugu,12351.70232,Not_interested,Bronze,Second_Degree,1/14/11,Fully_Employed,204,489.6,SUV,Medsize,19,4,0,2,Personal,P_L2,Call Center,2
Customer_373,Female,66380,Suburban,Divorced,Lagos,33475.34946,Interested,Bronze,First_Degree,11/1/2011,Fully_Employed,212,508.8,SUV,Medsize,18,95,0,2,Personal,P_L3,Web,0
Customer_4759,Male,144666,Urban,Married,Lagos,2815.309659,Not_interested,Bronze,First_Degree,1/2/2011,Fully_Employed,140,177.224451,Two-Door Car,Large,10,20,0,1,Personal,P_L2,Agent,1
Customer_8417,Female,69674,Rural,Married,Lagos,7665.514373,Not_interested,Bronze,First_Degree,7/2/2011,Fully_Employed,126,72.828431,Four-Door Car,Medsize,32,27,0,2,Personal,P_L1,Agent,0
Customer_2585,Male,196902,Suburban,Married,Imo,4966.666365,Not_interested,Bronze,HND,1/31/11,Fully_Employed,124,316.546868,Four-Door Car,Small,19,57,0,3,Personal,P_L3,Agent,3
Customer_1332,Female,0,Suburban,Married,Lagos,2595.398672,Not_interested,Bronze,Second_Degree,1/2/2011,Not_employed,138,331.2,Two-Door Car,Medsize,29,35,0,1,Personal,P_L3,Branch,3
Customer_5973,Female,0,Suburban,Single,Imo,2149.656911,Not_interested,Bronze,HND,12/2/2011,Not_employed,124,297.6,Two-Door Car,Medsize,32,45,0,1,Personal,P_L3,Agent,3
Customer_3614,Male,126446,Suburban,Married,Abuja,2799.759849,Not_interested,Bronze,HND,1/18/11,Fully_Employed,142,397.622116,Two-Door Car,Small,3,72,0,1,Personal,P_L1,Web,2
Customer_3707,Male,129338,Suburban,Married,Abuja,10596.13249,Not_interested,Silver,O_Level,1/19/11,Fully_Employed,262,628.8,Sports Car,Small,22,32,0,6,Personal,P_L3,Call Center,3
Customer_1784,Female,75990,Suburban,Married,Kano,5599.12496,Interested,Silver,O_Level,1/27/11,Fully_Employed,278,667.2,SUV,Medsize,16,50,0,1,Personal,P_L1,Branch,0
Customer_5444,Female,117892,Urban,Married,Lagos,4825.558028,Not_interested,Silver,HND,1/31/11,Fully_Employed,242,486.720776,SUV,Medsize,5,87,0,1,Personal,P_L3,Agent,0
Customer_6995,Male,38372,Suburban,Divorced,Abuja,4520.782768,Not_interested,Bronze,PHD,5/1/2011,In_Retirement,124,297.6,Four-Door Car,Small,10,34,0,5,Personal,P_L1,Branch,2
Customer_6595,Female,120174,Suburban,Single,Imo,5823.787383,Not_interested,Bronze,First_Degree,2/13/11,Fully_Employed,148,355.2,Four-Door Car,Small,21,23,0,3,Special,S_L3,Agent,0
Customer_6079,Male,0,Suburban,Married,Lagos,5167.571852,Not_interested,Bronze,First_Degree,2/19/11,Not_employed,144,518.4,Two-Door Car,Small,6,66,0,5,Personal,P_L3,Agent,0
Customer_2888,Male,81936,Suburban,Divorced,Imo,3721.247732,Not_interested,Silver,O_Level,7/1/2011,Fully_Employed,194,465.6,Four-Door Car,Large,29,53,2,1,Personal,P_L3,Agent,0
Customer_6134,Male,43706,Suburban,Married,Abuja,6557.360031,Not_interested,Silver,HND,1/18/11,Disabled,172,412.8,Four-Door Car,Medsize,10,2,0,5,Personal,P_L2,Agent,2
Customer_2992,Male,0,Suburban,Single,Imo,4430.038374,Not_interested,Bronze,O_Level,3/1/2011,Not_employed,128,628.801638,Four-Door Car,Small,6,47,0,8,Personal,P_L3,Agent,2
Customer_3961,Female,22864,Suburban,Married,Abuja,13468.92071,Interested,Bronze,O_Level,2/23/11,Disabled,238,571.2,SUV,Small,11,9,0,2,Personal,P_L2,Agent,1
Customer_7820,Male,138482,Rural,Divorced,Imo,7352.930502,Not_interested,Silver,O_Level,1/20/11,Fully_Employed,186,111.250449,Four-Door Car,Medsize,2,63,0,3,Personal,P_L3,Agent,0
Customer_7605,Female,0,Urban,Divorced,Lagos,8275.111579,Not_interested,Gold,HND,11/1/2011,Not_employed,232,509.513764,Four-Door Car,Large,6,78,0,3,Personal,P_L2,Web,0
Customer_4808,Female,142420,Suburban,Married,Lagos,25809.063,Interested,Silver,HND,2/13/11,Fully_Employed,428,1027.2,Luxury Car,Small,8,89,2,2,Personal,P_L3,Branch,0
Customer_8700,Male,114586,Urban,Married,Lagos,8063.198798,Not_interested,Bronze,HND,11/2/2011,Fully_Employed,204,347.996042,Sports Car,Medsize,19,87,0,7,Corporate,C_L3,Agent,0
Customer_2653,Male,124976,Urban,Married,Lagos,2406.380963,Not_interested,Bronze,O_Level,2/24/11,Fully_Employed,124,200.689331,Four-Door Car,Medsize,35,47,4,1,Personal,P_L3,Call Center,1
Customer_5231,Male,103282,Rural,Single,Abuja,2467.616631,Not_interested,Bronze,Second_Degree,1/17/11,Fully_Employed,126,137.091494,Four-Door Car,Medsize,8,80,2,1,Personal,P_L3,Agent,0
Customer_6424,Female,0,Suburban,Single,Lagos,4839.926404,Not_interested,Bronze,O_Level,2/22/11,Not_employed,130,468.0,Four-Door Car,Medsize,6,89,0,3,Personal,P_L3,Web,0
Customer_1541,Male,96230,Suburban,Married,Abuja,15364.35442,Not_interested,Bronze,O_Level,10/1/2011,Fully_Employed,384,1382.4,Luxury Car,Large,15,67,0,5,Personal,P_L3,Agent,2
Customer_4162,Male,87812,Suburban,Divorced,Enugu,5159.053124,Not_interested,Bronze,HND,8/2/2011,Fully_Employed,130,468.0,Two-Door Car,Small,6,53,0,6,Personal,P_L1,Web,0
Customer_322,Male,0,Suburban,Single,Abuja,2317.094985,Not_interested,Bronze,First_Degree,9/1/2011,Not_employed,146,350.4,Four-Door Car,Medsize,14,39,2,1,Corporate,C_L3,Branch,0
Customer_2031,Male,120428,Urban,Married,Abuja,7945.513275,Not_interested,Bronze,First_Degree,3/1/2011,Fully_Employed,200,291.287905,Sports Car,Small,8,16,2,4,Corporate,C_L3,Agent,0
Customer_993,Male,49608,Suburban,Married,Imo,20173.96154,Not_interested,Bronze,PHD,1/2/2011,Fully_Employed,146,350.4,Two-Door Car,Small,19,98,0,2,Personal,P_L2,Call Center,2
Customer_5893,Male,0,Suburban,Married,Abuja,2841.013244,Not_interested,Silver,First_Degree,1/21/11,Not_employed,162,388.8,Two-Door Car,Large,22,26,0,1,Personal,P_L2,Branch,2
Customer_7789,Female,154334,Rural,Divorced,Enugu,5281.198664,Not_interested,Bronze,First_Degree,10/1/2011,Fully_Employed,132,137.086695,Four-Door Car,Medsize,15,99,0,3,Personal,P_L3,Call Center,1
Customer_6253,Female,0,Suburban,Divorced,Lagos,2661.70565,Interested,Silver,HND,2/19/11,Not_employed,174,420.041981,Four-Door Car,Medsize,4,4,6,1,Special,S_L3,Agent,1
Customer_7250,Male,0,Suburban,Single,Enugu,6603.611299,Not_interested,Bronze,O_Level,8/2/2011,Not_employed,388,2306.508397,Luxury SUV,Medsize,22,79,0,1,Corporate,C_L1,Web,3
Customer_3314,Male,38026,Suburban,Married,Abuja,3651.658983,Not_interested,Silver,O_Level,2/2/2011,On_Leave,190,456.0,Four-Door Car,Medsize,1,58,0,1,Corporate,C_L1,Call Center,2
Customer_6519,Female,183608,Suburban,Married,Imo,5019.610845,Not_interested,Bronze,HND,2/23/11,Fully_Employed,124,388.80286,Four-Door Car,Large,18,32,0,9,Special,S_L3,Agent,1
Customer_2184,Male,134120,Urban,Single,Abuja,13625.62257,Not_interested,Silver,HND,1/27/11,Fully_Employed,252,339.000467,SUV,Medsize,1,85,8,2,Personal,P_L2,Web,0
Customer_110,Male,112796,Suburban,Married,Lagos,6703.571657,Not_interested,Silver,HND,2/27/11,Fully_Employed,170,408.0,Four-Door Car,Small,4,18,0,7,Personal,P_L3,Agent,3
Customer_4161,Female,158180,Urban,Married,Abuja,8611.158215,Interested,Bronze,First_Degree,1/14/11,Fully_Employed,214,289.040734,SUV,Medsize,2,74,0,3,Personal,P_L3,Branch,1
Customer_5576,Male,91734,Suburban,Married,Lagos,5012.917847,Not_interested,Silver,HND,2/21/11,Fully_Employed,252,604.8,Sports Car,Medsize,31,12,0,1,Personal,P_L2,Agent,0
Customer_1079,Female,130946,Urban,Married,Abuja,8009.349108,Not_interested,Bronze,HND,1/24/11,Fully_Employed,134,277.685667,Four-Door Car,Medsize,4,14,0,2,Personal,P_L1,Call Center,1
Customer_2226,Male,0,Suburban,Divorced,Lagos,6041.020697,Not_interested,Silver,O_Level,9/2/2011,Not_employed,178,640.8,Four-Door Car,Medsize,6,49,2,3,Personal,P_L3,Agent,1
Customer_4902,Female,0,Suburban,Divorced,Imo,3144.87734,Not_interested,Silver,O_Level,2/25/11,Not_employed,172,412.8,Four-Door Car,Small,17,35,0,1,Personal,P_L3,Branch,3
Customer_8937,Male,75390,Urban,Married,Lagos,13933.35067,Not_interested,Bronze,First_Degree,12/1/2011,Fully_Employed,236,352.311743,SUV,Medsize,11,62,0,2,Personal,P_L2,Branch,0
Customer_2705,Male,154700,Suburban,Divorced,Enugu,2637.505781,Not_interested,Bronze,Second_Degree,6/1/2011,Fully_Employed,132,316.8,Four-Door Car,Medsize,11,4,0,1,Personal,P_L1,Branch,3
Customer_6004,Female,192538,Rural,Divorced,Enugu,9557.169159,Not_interested,Gold,HND,2/1/2011,Fully_Employed,236,58.776508,Four-Door Car,Medsize,2,52,0,8,Personal,P_L2,Web,1
Customer_3006,Male,0,Suburban,Married,Abuja,2318.796105,Not_interested,Bronze,First_Degree,2/24/11,Not_employed,128,307.2,Four-Door Car,Medsize,2,80,0,1,Personal,P_L2,Branch,3
Customer_1164,Male,78984,Suburban,Married,Abuja,4107.580991,Not_interested,Bronze,First_Degree,2/26/11,Fully_Employed,210,756.0,SUV,Medsize,20,81,0,1,Personal,P_L3,Agent,1
Customer_5730,Female,42274,Suburban,Single,Imo,4494.23348,Not_interested,Bronze,First_Degree,1/28/11,On_Leave,122,292.8,Four-Door Car,Medsize,29,62,2,6,Personal,P_L1,Web,1
Customer_1450,Male,143326,Rural,Married,Enugu,21000.25947,Not_interested,Bronze,First_Degree,1/25/11,Fully_Employed,148,84.494022,Four-Door Car,Medsize,23,22,0,2,Corporate,C_L3,Web,1
Customer_7710,Female,162560,Urban,Married,Abuja,2754.65503,Not_interested,Bronze,O_Level,2/23/11,Fully_Employed,136,308.349562,Four-Door Car,Medsize,6,47,0,1,Personal,P_L3,Web,2
Customer_6689,Female,59320,Urban,Married,Enugu,4428.096934,Not_interested,Bronze,HND,1/19/11,Fully_Employed,224,334.133949,SUV,Small,29,71,0,1,Personal,P_L3,Agent,0
Customer_5058,Female,110700,Suburban,Married,Abuja,5382.898636,Interested,Bronze,HND,2/24/11,Fully_Employed,134,321.6,Four-Door Car,Medsize,0,13,0,9,Personal,P_L2,Agent,0
Customer_5694,Female,0,Suburban,Single,Lagos,9105.700091,Not_interested,Silver,First_Degree,2/27/11,Not_employed,262,628.8,Sports Car,Medsize,18,41,0,3,Personal,P_L2,Branch,1
Customer_4978,Male,0,Suburban,Single,Abuja,2498.140812,Not_interested,Bronze,O_Level,2/13/11,Not_employed,144,518.4,Two-Door Car,Medsize,14,58,0,1,Corporate,C_L2,Web,3
Customer_8887,Female,76444,Rural,Divorced,Lagos,2777.671887,Not_interested,Bronze,HND,11/2/2011,Fully_Employed,142,166.78838,Four-Door Car,Medsize,6,8,0,1,Personal,P_L2,Call Center,1
Customer_6711,Male,0,Suburban,Single,Abuja,1942.981221,Not_interested,Bronze,O_Level,7/2/2011,Not_employed,132,475.2,Two-Door Car,Large,5,40,6,1,Personal,P_L3,Call Center,2
Customer_5520,Male,0,Urban,Married,Imo,5188.359717,Not_interested,Bronze,First_Degree,4/1/2011,Not_employed,146,194.944319,Four-Door Car,Medsize,27,95,2,6,Personal,P_L2,Call Center,1
Customer_3305,Female,64794,Rural,Married,Lagos,7521.029686,Not_interested,Bronze,First_Degree,1/27/11,Fully_Employed,380,334.626758,Luxury SUV,Small,14,95,0,1,Corporate,C_L1,Agent,0
Customer_7473,Male,0,Suburban,Single,Imo,9870.595441,Not_interested,Silver,O_Level,2/2/2011,Not_employed,198,712.8,Four-Door Car,Medsize,25,23,0,2,Personal,P_L1,Agent,1
Customer_6261,Male,61634,Rural,Divorced,Imo,3438.134281,Interested,Silver,PHD,2/18/11,Fully_Employed,176,91.834668,Four-Door Car,Medsize,25,43,0,1,Personal,P_L1,Branch,1
Customer_8232,Female,118464,Suburban,Divorced,Imo,10132.93442,Not_interested,Silver,PHD,1/17/11,Fully_Employed,170,408.0,Two-Door Car,Medsize,6,75,0,2,Corporate,C_L3,Branch,2
Customer_3785,Female,0,Suburban,Single,Imo,2169.330201,Not_interested,Bronze,First_Degree,12/2/2011,Not_employed,122,439.2,Four-Door Car,Small,16,46,0,1,Personal,P_L3,Agent,2
Customer_1514,Male,189180,Suburban,Married,Lagos,9842.082616,Not_interested,Silver,Second_Degree,1/23/11,Fully_Employed,162,388.8,Two-Door Car,Medsize,26,31,0,2,Personal,P_L3,Web,1
Customer_2313,Female,0,Suburban,Single,Lagos,12994.27561,Not_interested,Bronze,O_Level,6/2/2011,Not_employed,144,518.4,Four-Door Car,Medsize,8,61,0,2,Personal,P_L3,Agent,0
Customer_8354,Female,121864,Suburban,Married,Enugu,8101.40027,Not_interested,Bronze,First_Degree,1/27/11,Fully_Employed,202,484.8,SUV,Large,7,35,0,3,Corporate,C_L3,Agent,0
Customer_1451,Male,0,Suburban,Single,Lagos,2347.084479,Not_interested,Bronze,HND,2/22/11,Not_employed,138,331.2,Four-Door Car,Medsize,1,56,0,1,Personal,P_L3,Agent,0
Customer_2020,Female,101958,Urban,Married,Abuja,2458.816647,Not_interested,Bronze,Second_Degree,9/1/2011,Fully_Employed,122,262.842655,Two-Door Car,Medsize,25,45,2,1,Personal,P_L2,Branch,0
Customer_3589,Female,0,Suburban,Single,Kano,2595.897887,Not_interested,Bronze,O_Level,1/21/11,Not_employed,144,345.6,Four-Door Car,Large,31,99,0,1,Personal,P_L1,Call Center,2
Customer_6195,Male,177408,Urban,Married,Lagos,2782.845565,Not_interested,Bronze,First_Degree,2/25/11,Fully_Employed,138,259.714887,Two-Door Car,Small,16,78,0,1,Personal,P_L3,Call Center,1
Customer_4366,Female,0,Suburban,Married,Imo,5909.151868,Not_interested,Silver,HND,2/28/11,Not_employed,162,390.161912,Four-Door Car,Medsize,8,47,0,8,Personal,P_L3,Branch,3
Customer_4625,Male,0,Suburban,Single,Lagos,6982.325287,Not_interested,Bronze,First_Degree,1/25/11,Not_employed,134,321.6,Four-Door Car,Medsize,20,14,0,2,Corporate,C_L3,Branch,2
